10-MINUTE WALK PROFILING REPORT
==================================
Date: 2026-05-27T07:27:03.197Z
Total Frames Measured: 16116
Approx Average FPS: 131.6
Average Frame Time: 7.60ms
95th Percentile Frame Time: 34.70ms
99th Percentile Frame Time: 66.30ms
Max Frame Time (Worst): 151.00ms
Frames > 16.7ms (dropped): 1889
Frames > 33.3ms (SPIKE): 886

Active Objects (End of Run):
  Chunks: 63
  PointLights: 8
  Colliders: 476
  Player Position: x=0.0, z=-1769.2

Stability Analysis (Second Half of Run):
  Geometries: min=21, max=91 (delta=70)
  Textures: min=9, max=9 (delta=0)
  Colliders: min=438, max=518 (delta=80)
  JS Heap: min=19.9MB, max=80.3MB

Metrics History:
Time: 264.3s, FPS: 23, Geo: 42, Tex: 9, DrawCalls: 105, Triangles: 3964, Heap: 51.9MB, Colliders: 442
Time: 266.4s, FPS: 36, Geo: 49, Tex: 9, DrawCalls: 143, Triangles: 4756, Heap: 44.8MB, Colliders: 483
Time: 268.4s, FPS: 20, Geo: 49, Tex: 9, DrawCalls: 123, Triangles: 14368, Heap: 47.5MB, Colliders: 483
Time: 270.4s, FPS: 20, Geo: 56, Tex: 9, DrawCalls: 156, Triangles: 5540, Heap: 40.6MB, Colliders: 478
Time: 272.4s, FPS: 20, Geo: 56, Tex: 9, DrawCalls: 143, Triangles: 4804, Heap: 31.7MB, Colliders: 478
Time: 274.4s, FPS: 20, Geo: 56, Tex: 9, DrawCalls: 118, Triangles: 4288, Heap: 24.2MB, Colliders: 478
Time: 276.4s, FPS: 20, Geo: 49, Tex: 9, DrawCalls: 150, Triangles: 5200, Heap: 22.7MB, Colliders: 473
Time: 278.4s, FPS: 20, Geo: 49, Tex: 9, DrawCalls: 129, Triangles: 4332, Heap: 49.3MB, Colliders: 473
Time: 280.4s, FPS: 20, Geo: 56, Tex: 9, DrawCalls: 169, Triangles: 5600, Heap: 42.9MB, Colliders: 472
Time: 282.4s, FPS: 20, Geo: 56, Tex: 9, DrawCalls: 161, Triangles: 5404, Heap: 38.4MB, Colliders: 472
Time: 284.4s, FPS: 20, Geo: 56, Tex: 9, DrawCalls: 126, Triangles: 4504, Heap: 37.6MB, Colliders: 472
Time: 286.4s, FPS: 34, Geo: 63, Tex: 9, DrawCalls: 168, Triangles: 5656, Heap: 47.2MB, Colliders: 457
Time: 288.4s, FPS: 36, Geo: 63, Tex: 9, DrawCalls: 148, Triangles: 4904, Heap: 25.2MB, Colliders: 457
Time: 290.4s, FPS: 32, Geo: 63, Tex: 9, DrawCalls: 174, Triangles: 5948, Heap: 48.2MB, Colliders: 455
Time: 292.5s, FPS: 30, Geo: 63, Tex: 9, DrawCalls: 159, Triangles: 5188, Heap: 28.0MB, Colliders: 455
